Place,Region,County,Link,Link2,Geo Merge,latitude,longitude
Marlborough,Southwest,Wiltshire,"https://en.wikipedia.org/wiki/Marlborough,_Wiltshire",https://en.wikipedia.org/wiki/Marlborough,51.42?N 1.73?W,51.42,-1.73
Sherborne,Southwest,Dorset,"https://en.wikipedia.org/wiki/Sherborne,_Dorset",https://en.wikipedia.org/wiki/Sherborne,50.9469?N 2.5171?W,50.9469,-2.5171
St Agnes,Southwest,Cornwall,"https://en.wikipedia.org/wiki/St Agnes,_Cornwall",https://en.wikipedia.org/wiki/St Agnes,50.312?N 5.204?W,50.312,-5.204
Swanage,Southwest,Dorset,"https://en.wikipedia.org/wiki/Swanage,_Dorset",https://en.wikipedia.org/wiki/Swanage,50.6083?N 1.9599?W,50.6083,-1.9599
Tavistock,Southwest,Devon,"https://en.wikipedia.org/wiki/Tavistock,_Devon",https://en.wikipedia.org/wiki/Tavistock,50.545?N 4.150?W,50.545,-4.15
Tisbury,Southwest,Wiltshire,"https://en.wikipedia.org/wiki/Tisbury,_Wiltshire",https://en.wikipedia.org/wiki/Tisbury,51.065?N 2.081?W,51.065,-2.081
Totnes,Southwest,Devon,"https://en.wikipedia.org/wiki/Totnes,_Devon",https://en.wikipedia.org/wiki/Totnes,50.432?N 3.684?W,50.432,-3.684
Knutsford,Northwast,Cheshire,"https://en.wikipedia.org/wiki/Knutsford,_Cheshire",https://en.wikipedia.org/wiki/Knutsford,53.300?N 2.371?W,53.3,-2.371
Chester,Northwast,Cheshire,"https://en.wikipedia.org/wiki/Chester,_Cheshire",https://en.wikipedia.org/wiki/Chester,53.1903?N 2.8916?W,53.1903,-2.8916
Alston,Northwast,Cumbria,"https://en.wikipedia.org/wiki/Alston,_Cumbria",https://en.wikipedia.org/wiki/Alston,54.810?N 2.441?W,54.81,-2.441
Chorlton-cum-Hardy,Northwast,Manchester,"https://en.wikipedia.org/wiki/Chorlton-cum-Hardy,_Manchester",https://en.wikipedia.org/wiki/Chorlton-cum-Hardy,53.442?N 2.277?W,53.442,-2.277
Clitheroe,Northwast,Lancashire,"https://en.wikipedia.org/wiki/Clitheroe,_Lancashire",https://en.wikipedia.org/wiki/Clitheroe,53.8711?N 2.3916?W,53.8711,-2.3916
Kendal,Northwast,Cumbria,"https://en.wikipedia.org/wiki/Kendal,_Cumbria",https://en.wikipedia.org/wiki/Kendal,54.326?N 2.745?W,54.326,-2.745
