hmc school,wikipedia link,postcode
The Leys School,https://en.wikipedia.org/wiki/The_Leys_School,CB2 7AD
Lincoln Minster School,https://en.wikipedia.org/wiki/Lincoln_Minster_School,LN2 5RW
Lingfield Notre Dame School,https://en.wikipedia.org/wiki/Lingfield_Notre_Dame_School,RH7 6PH
Lord Wandsworth College,https://en.wikipedia.org/wiki/Lord_Wandsworth_College,RG29 2TB
Loughborough Grammar School,https://en.wikipedia.org/wiki/Loughborough_Grammar_School,LE11 2DU
Magdalen College School,https://en.wikipedia.org/wiki/Magdalen_College_School,OX4 1DZ
Malvern College,https://en.wikipedia.org/wiki/Malvern_College,WR14 3DF
Manchester Grammar School,https://en.wikipedia.org/wiki/Manchester_Grammar_School,M13 0XT
Marlborough College,https://en.wikipedia.org/wiki/Marlborough_College,SN8 1PA
"Merchant Taylors' School, Crosby","https://en.wikipedia.org/wiki/Merchant_Taylors'_School,_Crosby",L23 0QP
"Merchant Taylors' School, Northwood","https://en.wikipedia.org/wiki/Merchant_Taylors'_School,_Northwood",HA6 2HT
Millfield,https://en.wikipedia.org/wiki/Millfield,BA16 0YD
Mill Hill School,https://en.wikipedia.org/wiki/Mill_Hill_School,NW7 1QS
Monkton Combe School,https://en.wikipedia.org/wiki/Monkton_Combe_School,BA2 7HG
Mount Kelly,https://en.wikipedia.org/wiki/Mount_Kelly,PL19 0HZ
Mount St Mary's College,https://en.wikipedia.org/wiki/Mount_St_Mary's_College,S21 3YL
Newcastle-under-Lyme School,https://en.wikipedia.org/wiki/Newcastle-under-Lyme_School,ST5 1DB
New Hall School,https://en.wikipedia.org/wiki/New_Hall_School,CM3 3HS
Norwich School,https://en.wikipedia.org/wiki/Norwich_School,NR1 4DD
Nottingham High School,https://en.wikipedia.org/wiki/Nottingham_High_School,NG7 4ED
Oakham School,https://en.wikipedia.org/wiki/Oakham_School,LE15 6DT
Oldham Hulme Grammar School,https://en.wikipedia.org/wiki/Oldham_Hulme_Grammar_School,OL8 4BX
The Oratory School,https://en.wikipedia.org/wiki/The_Oratory_School,RG8 0PJ
